Name,Type,Gender,URL
Yunho,Singer,male,https://www.google.com/search?q=Yunho&biw=1978&bih=838&sxsrf=ALiCzsaermVfezckySrBlVGVI3iltFpXdA%3A1665307251198&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws
Kim Tae-hyung,Singer,male,https://www.google.com/search?q=Kim+Tae-hyung&biw=1978&bih=838&sxsrf=ALiCzsZhkSdZTjnUGU5wIKrTwjU-A8xKnw%3A1665307278135&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws
Yook Sungjae,Singer,male,https://www.google.com/search?q=Yook+Sungjae&biw=1978&bih=838&sxsrf=ALiCzsZfQJ8YduujEN4SF-YgOOrtgBEMTA%3A1665307330642&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws
Park Ji-min ,Singer,male,https://www.google.com/search?q=Park+Ji-min&biw=1978&bih=838&sxsrf=ALiCzsbhlnP_EkCHqab2FgNFmExMCHMbNA%3A1665307356940&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws
Min Yoongi ,Singer,male,https://www.google.com/search?q=Min+Yoongi&biw=1978&bih=838&sxsrf=ALiCzsaK5mqs1q3mmzgvU7NXLboh-seyZA%3A1665307387721&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws
Amber Heard,Actress,female,https://www.google.com/search?q=amber+heard&biw=851&bih=919&sxsrf=ALiCzsbOODGHE44HqA2OeRB2I5HTy4MwrA%3A1665307407817&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws
Emma Watson,Actress,female,https://www.google.com/search?q=Emma+Watson&rlz=1C1CHBF_enSG893SG893&tbas=0&biw=1600&bih=762&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws
Jennifer Lawrence,Actress,female,https://www.google.com/search?q=jennifer+lawrence&rlz=1C1CHBF_enSG893SG893&biw=1600&bih=762&source=lnt&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws
Margot Robbie,Actress,female,https://www.google.com/search?q=margot+robbie&rlz=1C1CHBF_enSG893SG893&biw=1600&bih=762&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws&ei=gJJCY6fKLOqQseMP8s6NwA8&ved=0ahUKEwinitP_6NL6AhVqSGwGHXJnA_gQ4dUDCA0&uact=5&oq=margot+robbie&gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAzIKCAAQsQMQgwEQQzIKCAAQsQMQgwEQQzIECAAQQzIECAAQQzIECAAQQzIECAAQQzIECAAQQzIECAAQQzILCAAQgAQQsQMQgwEyBQgAEIAEOgcIABCxAxBDOggIABCxAxCDAToICAAQgAQQsQM6DQgAEIAEELEDEIMBEAo6BwgAEIAEEApQ9wdY9RdgvxloAnAAeACAAU2IAacHkgECMTWYAQCgAQHAAQE&sclient=gws-wiz-news
Zendaya,Actress,female,https://www.google.com/search?q=zendaya&rlz=1C1CHBF_enSG893SG893&biw=1600&bih=762&tbs=cdr%3A1%2Ccd_min%3A9%2F9%2F2022%2Ccd_max%3A10%2F9%2F2022&tbm=nws&ei=xZJCY4LEOLygseMPhN-cuA0&ved=0ahUKEwjCutKg6dL6AhU8UGwGHYQvB9cQ4dUDCA0&uact=5&oq=zendaya&gs_lcp=Cgxnd3Mtd2l6LW5ld3MQAzIHCAAQsQMQQzIHCAAQsQMQQzIKCAAQsQMQgwEQQzIHCAAQsQMQQzILCAAQgAQQsQMQgwEyBQgAEIAEMgUIABCABDIFCAAQgAQyBAgAEEMyBAgAEEM6CAgAEIAEELEDOggIABCxAxCDAVD5BFjMCmDEDGgDcAB4AIABS4gBvgOSAQE4mAEAoAEBwAEB&sclient=gws-wiz-news
Emma Stone,Actress,female,https://www.google.com/search?q=Emma+Stone&biw=1978&bih=838&sxsrf=ALiCzsZ1TXcIzZgei273vxjoC4cLfLxp5A%3A1665307420170&source=lnt&tbs=cdr%3A1%2Ccd_min%3A10%2F9%2F2022%2Ccd_max%3A9%2F9%2F2022&tbm=nws
Elizabeth Olsen,Actress,female,https://www.google.com/search?q=Elizabeth+Olsen&biw=1978&bih=838&sxsrf=ALiCzsY-RQgqzAmFnb-nmwqScMq6ZFPAOQ%3A1665307395108&source=lnt&tbs=cdr%3A1%2Ccd_min%3A10%2F9%2F2022%2Ccd_max%3A9%2F9%2F2022&tbm=nws
Samuel L. Jackson,Actor,male,https://www.google.com/search?q=Samuel+L.+Jackson&biw=1978&bih=838&sxsrf=ALiCzsbZfIJaFlc7duyWywbd_MEjt0GwEw%3A1665307377320&source=lnt&tbs=cdr%3A1%2Ccd_min%3A10%2F9%2F2022%2Ccd_max%3A9%2F9%2F2022&tbm=nws
Chris Hemsworth,Actor,male,https://www.google.com/search?q=Chris+Hemsworth&biw=1978&bih=838&sxsrf=ALiCzsbX4nUj7eiw5xDAkCJD5aXe0EmFRw%3A1665307355599&source=lnt&tbs=cdr%3A1%2Ccd_min%3A10%2F9%2F2022%2Ccd_max%3A9%2F9%2F2022&tbm=nws
Chris Pratt,Actor,male,https://www.google.com/search?q=Chris+Pratt&biw=1978&bih=838&sxsrf=ALiCzsYsqpPqp_zenJEoyZcKGRcZZpSAOQ%3A1665307326624&source=lnt&tbs=cdr%3A1%2Ccd_min%3A10%2F9%2F2022%2Ccd_max%3A9%2F9%2F2022&tbm=nws
